,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory _Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3
3186,0,50,3,27990,4.0,12,27.0,0,1,0,0,3,4,1.0,1.0,3.0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
3432,0,33,1,140260,1.0,17,1.0,4,1,0,0,3,3,4.0,4.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2259,0,31,2,39750,1.0,15,5.0,3,5,4,3,3,4,4.0,1.0,3.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
2891,0,37,1,170680,3.0,23,8.0,6,4,0,1,4,3,4.0,4.0,4.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
488,0,32,9,44870,1.0,11,1.0,5,1,0,0,3,4,3.0,4.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2295,0,37,3,160320,1.0,13,7.0,2,7,0,7,3,4,4.0,2.0,3.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1635,0,39,2,21150,1.0,18,21.0,3,21,11,8,3,3,4.0,3.0,3.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
4265,1,26,10,80950,1.0,9,1.0,3,1,0,0,3,3,1.0,1.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2330,0,24,5,40870,0.0,20,4.0,1,3,0,2,4,4,2.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
58,0,31,2,97130,1.0,17,10.0,5,10,8,9,3,4,3.0,4.0,4.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
423,0,38,7,26950,3.0,14,8.0,4,2,2,2,3,3,4.0,4.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
1486,0,29,16,29260,1.0,15,2.0,3,2,2,2,3,3,4.0,3.0,4.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1903,0,28,6,163070,1.0,16,1.0,3,1,0,0,3,3,4.0,3.0,4.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,0,32,1,26620,1.0,11,13.0,6,13,11,9,3,4,2.0,2.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
4369,1,41,8,20990,8.0,9,8.0,2,6,0,5,3,2,3.0,3.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
1429,0,38,2,20140,3.0,17,8.0,5,0,0,0,3,3,4.0,4.0,3.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2761,0,34,6,23480,1.0,14,6.0,3,5,1,3,3,4,2.0,3.0,4.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
730,0,22,14,97050,1.0,18,4.0,3,4,1,3,3,3,4.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
997,0,32,7,57690,1.0,11,4.0,3,4,1,2,3,2,2.0,2.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
4353,1,30,14,49500,1.0,4,1.0,3,1,0,0,3,3,3.0,3.0,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
3864,1,31,11,168850,2.0,6,10.0,2,1,0,0,3,2,3.0,3.0,2.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
4239,1,19,18,160640,1.0,7,1.0,3,1,0,0,1,1,3.0,1.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
1198,0,45,2,103680,6.0,12,23.0,2,19,12,8,3,2,3.0,3.0,2.0,1,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
3858,1,47,1,196270,7.0,5,25.0,1,23,14,10,3,1,1.0,2.0,2.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
2424,0,36,1,23050,1.0,17,8.0,3,8,1,7,3,3,2.0,4.0,3.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
3006,0,44,3,42620,7.0,18,26.0,2,22,3,10,3,3,4.0,4.0,4.0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3542,0,36,2,43200,2.6948303347756775,14,5.0,2,1,0,0,3,2,3.0,3.0,2.0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2146,0,36,10,25170,2.0,14,12.0,3,4,1,3,3,4,4.0,3.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
1773,0,44,3,42620,7.0,18,26.0,2,22,3,10,3,3,3.0,3.0,3.0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1864,0,36,19,63970,4.0,14,11.0,3,3,0,2,3,4,2.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
437,0,41,1,52570,1.0,14,10.0,2,10,0,8,3,2,2.0,4.0,4.0,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3385,0,26,13,83800,0.0,18,8.0,3,7,7,7,3,4,4.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1615,0,50,8,52490,9.0,21,32.0,2,5,1,3,4,2,2.0,2.0,4.0,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2078,0,34,8,77790,5.0,12,6.0,2,2,2,2,3,4,2.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
2826,0,40,1,192320,2.0,14,11.0,3,1,0,0,3,4,4.0,4.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1167,0,38,3,70820,1.0,14,2.0,3,2,2,1,3,3,3.0,4.0,4.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
387,0,47,14,55820,1.0,16,9.0,3,9,0,7,3,3,3.0,4.0,2.0,1,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1279,0,45,2,35400,1.0,13,24.0,6,24,9,11,3,4,2.0,1.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3096,0,36,1,35050,1.0,12,10.0,2,10,1,8,3,2,2.0,3.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
2239,0,29,1,42840,4.0,11,10.0,5,4,0,3,3,4,4.0,3.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
1759,0,29,15,99500,1.0,20,3.0,3,3,1,2,4,3,3.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1113,0,34,7,48760,2.0,21,14.0,3,11,5,8,4,3,4.0,1.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
3616,0,22,2,132690,1.0,13,2.0,2,2,2,2,4,4,4.0,3.0,3.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
3215,0,35,23,78230,1.0,13,15.0,3,14,2,9,3,4,4.0,4.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
3756,1,29,4,59160,6.0,9,5.0,2,3,0,2,3,2,3.0,3.0,2.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3785,1,51,28,192720,9.0,14,18.0,2,10,2,7,2,2,3.0,3.0,3.0,1,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1671,0,38,4,63490,2.6948303347756775,11,20.0,3,19,1,9,3,3,2.0,3.0,3.0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2669,0,22,2,195450,0.0,14,3.0,3,2,2,2,3,4,4.0,3.0,3.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
1956,0,42,6,40140,8.0,13,24.0,3,1,0,1,3,4,2.0,3.0,4.0,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
736,0,45,2,58550,1.0,14,10.0,3,10,4,5,3,3,4.0,4.0,4.0,1,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
3526,0,35,2,63880,3.0,13,4.0,6,2,2,2,3,4,4.0,3.089749430523918,2.0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1006,0,29,1,42840,4.0,11,10.0,5,4,0,3,3,4,4.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
1594,0,26,9,22670,1.0,19,7.0,2,7,0,7,3,4,3.0,2.0,3.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
4193,1,24,32,104220,1.0,14,6.0,0,5,1,4,1,1,4.0,3.0,2.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
693,0,33,7,28990,1.0,17,15.0,3,15,5,7,3,4,4.0,2.0,3.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
419,0,45,13,54840,1.0,20,6.0,6,6,0,4,4,2,1.0,3.0,4.0,1,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
733,0,44,8,25190,0.0,21,23.0,2,22,1,10,4,3,3.0,2.0,3.0,1,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
1346,0,43,8,46170,1.0,11,25.0,2,25,3,9,3,4,4.0,4.0,4.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
470,0,29,3,65400,1.0,22,10.0,2,10,1,2,4,4,3.0,3.0,3.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
4288,1,39,22,28360,0.0,11,6.0,3,5,0,3,2,4,1.0,4.0,2.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2976,0,20,14,84120,1.0,13,2.0,2,2,2,2,3,3,2.0,4.0,3.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
313,0,52,1,50060,3.0,16,31.0,2,9,0,0,2,3,2.0,4.0,4.0,1,1,1,1,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
4164,1,32,6,34770,1.0,10,14.0,2,14,9,8,3,2,1.0,3.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2032,0,35,10,20420,0.0,16,6.0,2,5,1,4,3,3,4.0,4.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
960,0,40,17,197170,1.0,21,10.0,1,10,9,4,4,3,4.0,3.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
1224,0,37,18,30550,2.0,14,17.0,3,3,0,2,3,3,2.94709236031927,4.0,3.0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
2539,0,31,5,81030,1.0,15,11.0,5,11,4,10,3,4,1.0,1.0,4.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0
3720,1,34,6,137440,0.0,16,3.0,3,2,1,0,4,3,3.0,1.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
2105,0,54,22,31310,4.0,14,14.0,3,7,1,7,3,3,1.0,4.0,3.0,1,1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2159,0,47,1,45380,8.0,11,16.0,3,8,1,7,3,4,2.0,2.0,3.0,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
3125,0,57,2,61620,0.0,14,13.0,5,12,2,8,3,3,4.0,3.0,4.0,1,1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
4002,1,19,18,160640,1.0,11,1.0,3,1,0,0,1,3,3.0,3.0,3.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
1964,0,50,2,42940,2.0,20,32.0,2,30,12,13,4,4,4.0,2.0,2.0,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
3476,0,26,9,92780,0.0,12,5.0,3,4,0,0,4,3,2.0,4.0,3.0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
4091,1,48,12,63470,2.0,4,19.0,3,9,7,7,2,2,3.0,1.0,1.0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1406,0,34,21,52370,1.0,19,10.0,3,10,5,7,3,3,2.0,4.0,3.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
2611,0,60,13,23390,4.0,20,22.0,4,18,13,11,4,4,2.0,4.0,4.0,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
3512,0,33,7,29090,2.0,14,10.0,2,5,1,3,3,4,2.0,4.0,4.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
3597,0,45,2,57680,5.0,16,9.0,4,6,0,3,4,4,1.0,4.0,4.0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
3157,0,42,1,31620,2.0,17,24.0,1,20,13,9,3,4,2.0,3.0,3.0,1,1,1,1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
1047,0,35,8,57650,1.0,14,1.0,2,1,0,0,3,3,4.0,4.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
502,0,50,20,32020,2.0,24,32.0,2,2,2,2,4,4,4.0,2.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
2559,0,37,4,21440,6.0,19,17.0,3,5,0,3,3,2,3.0,4.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
3515,0,27,19,31720,1.0,14,9.0,1,9,1,7,4,3,4.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
1195,0,27,14,65160,1.0,19,7.0,4,7,0,7,3,2,2.0,4.0,3.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
1643,0,38,19,23260,8.0,14,19.0,3,1,0,0,3,3,3.0,3.0,4.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2840,0,38,3,100480,1.0,23,6.0,2,5,1,3,4,3,3.0,4.0,4.0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
2434,0,33,7,32950,6.0,22,7.0,2,3,1,1,4,3,4.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
302,0,51,13,94390,2.0,15,29.0,0,20,4,17,2,3,2.0,4.0,3.0,1,1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
180,0,38,4,154270,3.0,16,18.0,2,1,0,0,3,2,4.0,4.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3838,1,24,4,76540,2.0,9,4.0,3,0,0,0,2,3,1.0,3.0,3.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
269,0,54,14,49630,9.0,15,9.0,2,5,1,4,3,1,4.0,4.0,2.0,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
4280,1,24,34,28860,1.0,15,1.0,5,1,0,0,1,2,2.0,3.0,3.0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1963,0,22,14,97050,1.0,18,4.0,3,4,1,3,3,3,4.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
984,0,25,2,27850,0.0,21,6.0,2,5,0,4,4,3,3.0,3.0,2.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
3723,1,33,12,67280,7.0,14,15.0,2,7,7,7,4,2,3.0,3.0,3.0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
