Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing
0,27,Travel_Rarely,Research_Development,10,2,Medical,Female,4,Research_Director,Single,28560,1.0,12,2,5.0,5,5,0,4,2,4,4.0,4.0,4.0,1,1,1,1,1
0,31,Travel_Rarely,Sales,19,3,Life_Sciences,Male,2,Healthcare_Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,1,3,4.0,3.0,4.0,1,1,1,1,1
0,32,Travel_Rarely,Research_Development,6,3,Technical_Degree,Male,2,Healthcare_Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,3.0,4.0,2.0,1,1,1,1,1
0,30,Travel_Rarely,Research_Development,10,3,Life_Sciences,Female,4,Research_Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,1,1,1,1,1
0,31,Travel_Frequently,Research_Development,2,1,Life_Sciences,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,3,4,3.0,4.0,4.0,1,1,1,1,1
0,39,Travel_Frequently,Research_Development,15,4,Medical,Female,1,Research_Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,4,4.0,3.0,4.0,1,1,1,1,1
0,33,Travel_Frequently,Sales,3,2,Life_Sciences,Male,4,Research_Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,4,4.0,2.0,3.0,1,1,1,1,1
0,47,Travel_Rarely,Research_Development,3,3,Life_Sciences,Female,2,Healthcare_Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,3.0,2.0,3.0,1,1,1,1,1
0,43,Travel_Frequently,Research_Development,11,3,Medical,Female,5,Research_Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,4,4.0,3.0,4.0,1,1,1,1,1
0,27,Non-Travel,Research_Development,2,3,Life_Sciences,Male,1,Research_Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,4,4.0,4.0,3.0,1,1,1,1,1
0,54,Travel_Frequently,Research_Development,1,4,Life_Sciences,Male,2,Research_Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,4,1.0,4.0,3.0,1,1,1,1,1
0,43,Travel_Rarely,Research_Development,6,2,Life_Sciences,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,4,3,1.0,2.0,2.0,1,1,1,1,1
0,45,Travel_Rarely,Sales,2,1,Marketing,Female,1,Sales_Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,4,4.0,4.0,3.0,1,1,1,1,1
0,40,Travel_Rarely,Research_Development,2,4,Other,Male,4,Research_Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,2,3.0,4.0,3.0,1,1,1,1,1
0,29,Travel_Rarely,Human_Resources,6,3,Medical,Male,3,Sales_Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,4,3,3.0,4.0,3.0,1,1,1,1,1
0,30,Travel_Rarely,Research_Development,8,3,Life_Sciences,Male,2,Research_Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,3,4,4.0,4.0,3.0,1,1,1,1,1
0,27,Travel_Rarely,Research_Development,9,2,Medical,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,3,4,3.0,4.0,3.0,1,1,1,1,1
0,37,Travel_Rarely,Sales,1,4,Life_Sciences,Male,2,Healthcare_Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,4,4.0,4.0,3.0,1,1,1,1,1
0,38,Travel_Rarely,Research_Development,22,4,Medical,Male,1,Laboratory _Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,4,4.0,3.0,3.0,1,1,1,1,1
0,31,Travel_Rarely,Research_Development,5,3,Medical,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,4,4.0,3.0,3.0,1,1,1,1,1
0,29,Travel_Rarely,Research_Development,2,4,Life_Sciences,Male,3,Sales_Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,4,4.0,4.0,3.0,1,1,1,1,1
0,35,Travel_Rarely,Sales,13,2,Technical_Degree,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,3,3,3.0,2.0,3.0,1,1,1,1,1
0,23,Travel_Rarely,Research_Development,16,4,Life_Sciences,Male,1,Manufacturing_Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,4,4,4.0,4.0,3.0,1,1,1,1,1
0,41,Travel_Rarely,Research_Development,7,2,Life_Sciences,Female,1,Laboratory _Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,4,3.0,4.0,3.0,1,1,1,1,1
0,47,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory _Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,3,3,2.0,1.0,4.0,1,1,1,1,1
0,42,Travel_Rarely,Research_Development,2,4,Life_Sciences,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,4,3,2.0,4.0,3.0,1,1,1,1,1
0,29,Non-Travel,Sales,18,4,Marketing,Male,2,Human_Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,4,2,4.0,4.0,4.0,1,1,1,1,1
0,42,Travel_Rarely,Sales,6,4,Medical,Male,3,Research_Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,3,2,3.0,2.0,3.0,1,1,1,1,1
0,32,Travel_Rarely,Research_Development,2,3,Medical,Male,2,Research_Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3,4,4.0,4.0,2.0,1,1,1,1,1
0,48,Travel_Rarely,Sales,10,4,Medical,Male,4,Sales_Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,3,3,4.0,4.0,3.0,1,1,1,1,1
0,37,Travel_Rarely,Research_Development,6,5,Technical_Degree,Male,2,Manufacturing_Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,4.0,4.0,1,1,1,1,1
0,30,Non-Travel,Sales,20,4,Other,Male,1,Healthcare_Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,4,4,4.0,2.0,3.0,1,1,1,1,1
0,26,Travel_Rarely,Sales,22,3,Medical,Female,5,Laboratory _Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,1,4,3.0,2.0,4.0,1,1,1,1,1
0,42,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory _Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,2,3,3.0,4.0,4.0,1,1,1,1,1
0,36,Non-Travel,Human_Resources,22,3,HR,Male,2,Laboratory _Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,4,4,4.0,2.0,3.0,1,1,1,1,1
0,36,Travel_Frequently,Research_Development,5,3,Life_Sciences,Female,2,Research_Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,3,4,2.0,4.0,3.0,1,1,1,1,1
0,57,Travel_Rarely,Research_Development,17,4,Life_Sciences,Male,5,Research_Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,3,1,1.0,4.0,4.0,1,1,1,1,1
0,40,Travel_Rarely,Research_Development,6,3,Other,Male,2,Sales_Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,3,2,4.0,3.0,3.0,1,1,1,1,1
0,21,Non-Travel,Research_Development,1,5,Life_Sciences,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1,2,4.0,3.0,3.0,1,1,1,1,1
0,37,Travel_Rarely,Research_Development,4,3,Life_Sciences,Male,4,Research_Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,2,4,4.0,3.0,4.0,1,1,1,1,1
0,46,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory _Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3,3,1.0,4.0,3.0,1,1,1,1,1
0,50,Travel_Rarely,Research_Development,7,3,Medical,Female,3,Laboratory _Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,3,4,4.0,3.0,3.0,1,1,1,1,1
0,31,Travel_Rarely,Research_Development,1,3,Life_Sciences,Male,4,Human_Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,4,3,4.0,4.0,4.0,1,1,1,1,1
0,29,Travel_Rarely,Research_Development,1,3,Life_Sciences,Female,2,Research_Director,Single,66670,9.0,12,1,6.0,6,3,1,2,3,3,4.0,3.0,4.0,1,1,1,1,1
0,35,Travel_Rarely,Research_Development,23,3,Life_Sciences,Female,3,Sales_Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3,3,2.0,4.0,4.0,1,1,1,1,1
0,27,Travel_Rarely,Sales,2,3,Life_Sciences,Male,1,Sales_Executive,Divorced,23670,,12,1,5.0,2,5,0,4,3,2,2.0,3.0,3.0,0,1,1,1,1
0,28,Travel_Rarely,Research_Development,2,2,Medical,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,3,2,4.0,4.0,4.0,1,1,1,1,1
0,49,Travel_Rarely,Sales,2,3,Technical_Degree,Male,2,Manufacturing_Director,Single,52040,8.0,14,1,26.0,3,5,0,0,3,4,2.0,4.0,2.0,1,1,1,1,1
0,51,Travel_Rarely,Research_Development,1,2,Life_Sciences,Male,1,Sales_Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,4,1,4.0,3.0,4.0,1,1,1,1,1
0,36,Travel_Rarely,Sales,12,2,Life_Sciences,Male,1,Sales_Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,3,4,4.0,4.0,4.0,1,1,1,1,1
0,55,Travel_Rarely,Sales,21,3,Marketing,Male,1,Laboratory _Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3,1,1.0,4.0,4.0,1,1,1,1,1
0,24,Travel_Rarely,Research_Development,1,3,Life_Sciences,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,2,2,4.0,3.0,4.0,1,1,1,1,1
0,30,Travel_Rarely,Research_Development,2,3,Life_Sciences,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,1,4,4.0,2.0,4.0,1,1,1,1,1
0,22,Travel_Rarely,Research_Development,13,5,Other,Male,1,Research_Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,3,4,4.0,3.0,4.0,1,1,1,1,1
0,36,Travel_Rarely,Research_Development,1,3,Medical,Female,5,Healthcare_Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,3,4,2.0,3.0,3.0,1,1,1,1,1
0,37,Travel_Rarely,Research_Development,8,1,Technical_Degree,Male,1,Sales_Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,2,3,4.0,4.0,4.0,1,1,1,1,1
0,40,Travel_Rarely,Research_Development,5,2,Medical,Male,3,Research_Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2,2,4.0,4.0,3.0,1,1,1,1,1
0,42,Travel_Rarely,Research_Development,2,3,Medical,Female,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,3,4,,2.0,2.0,1,1,0,1,1
0,37,Travel_Rarely,Sales,7,1,Marketing,Male,3,Sales_Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,3,4,4.0,3.0,4.0,1,1,1,1,1
0,43,Travel_Rarely,Sales,8,2,Life_Sciences,Female,1,Sales_Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,3,4,4.0,4.0,3.0,1,1,1,1,1
0,40,Travel_Rarely,Sales,5,2,Life_Sciences,Female,1,Laboratory _Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,3,3,3.0,3.0,2.0,1,1,1,1,1
0,54,Travel_Rarely,Human_Resources,7,3,Life_Sciences,Female,2,Manufacturing_Director,Married,63230,4.0,23,1,24.0,2,4,1,2,4,4,4.0,3.0,4.0,1,1,1,1,1
0,34,Non-Travel,Research_Development,22,3,Medical,Male,1,Laboratory _Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,4,2,3.0,4.0,1.0,1,1,1,1,1
0,31,Travel_Rarely,Research_Development,8,4,Life_Sciences,Male,3,Sales_Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,3,4,2.0,3.0,3.0,1,1,1,1,1
0,43,Travel_Frequently,Sales,11,3,Life_Sciences,Female,1,Manufacturing_Director,Married,37480,7.0,14,2,,3,3,1,2,1,3,4.0,4.0,4.0,1,0,1,1,1
0,43,Travel_Rarely,Sales,22,4,Life_Sciences,Male,2,Sales_Representative,Divorced,39770,4.0,18,1,8.0,3,5,0,2,1,4,4.0,3.0,3.0,1,1,1,1,1
0,25,Travel_Rarely,Human_Resources,6,2,HR,Male,1,Manufacturing_Director,Single,86330,1.0,19,1,5.0,2,5,1,3,3,4,1.0,4.0,3.0,1,1,1,1,1
0,37,Non-Travel,Research_Development,1,3,Medical,Male,3,Laboratory _Technician,Married,20080,3.0,22,0,15.0,5,13,10,7,4,3,4.0,4.0,4.0,1,1,1,1,1
0,31,Travel_Rarely,Research_Development,19,1,Medical,Male,3,Laboratory _Technician,Married,44400,1.0,13,1,4.0,2,4,3,2,3,3,4.0,3.0,3.0,1,1,1,1,1
0,39,Travel_Frequently,Research_Development,21,4,Technical_Degree,Female,1,Sales_Executive,Divorced,30670,1.0,20,1,21.0,5,21,1,6,4,4,4.0,2.0,2.0,1,1,1,1,1
0,56,Travel_Frequently,Research_Development,16,4,Life_Sciences,Female,3,Sales_Executive,Married,53210,9.0,14,0,36.0,1,7,7,7,3,3,3.0,4.0,3.0,1,1,1,1,1
0,30,Travel_Rarely,Sales,4,4,Medical,Female,2,Manufacturing_Director,Single,54100,0.0,17,1,6.0,2,5,4,4,3,2,1.0,2.0,3.0,1,1,1,1,1
0,41,Travel_Rarely,Research_Development,6,3,Technical_Degree,Female,3,Research_Scientist,Married,27820,1.0,14,0,10.0,2,10,0,7,3,4,2.0,4.0,4.0,1,1,1,1,1
0,28,Travel_Rarely,Research_Development,6,3,Medical,Male,3,Healthcare_Representative,Divorced,119570,1.0,13,0,10.0,2,10,1,8,3,3,3.0,3.0,3.0,1,1,1,1,1
0,52,Travel_Rarely,Research_Development,21,2,Life_Sciences,Female,2,Sales_Representative,Married,33750,2.0,21,0,28.0,2,5,0,4,4,3,4.0,4.0,3.0,1,1,1,1,1
0,45,Travel_Rarely,Research_Development,2,3,Medical,Female,1,Sales_Executive,Married,50980,3.0,14,1,8.0,4,2,0,2,3,3,4.0,3.0,2.0,1,1,1,1,1
0,52,Travel_Rarely,Research_Development,10,3,Medical,Male,2,Research_Scientist,Married,48780,2.0,11,1,31.0,3,5,1,4,3,3,3.0,2.0,3.0,1,1,1,1,1
0,42,Travel_Frequently,Sales,8,3,Marketing,Female,2,Healthcare_Representative,Divorced,28370,2.0,13,1,19.0,0,5,0,2,3,3,3.0,3.0,3.0,1,1,1,1,1
0,30,Travel_Rarely,Sales,20,3,Marketing,Male,1,Sales_Executive,Single,24060,2.0,20,1,11.0,5,5,0,2,4,4,1.0,3.0,2.0,1,1,1,1,1
0,60,Travel_Rarely,Research_Development,8,3,Life_Sciences,Female,1,Manufacturing_Director,Married,22690,5.0,18,1,33.0,4,29,11,10,1,3,2.0,3.0,3.0,1,1,1,1,1
0,46,Travel_Rarely,Sales,15,4,Marketing,Female,1,Sales_Executive,Divorced,41080,2.0,14,0,19.0,5,10,0,8,3,2,2.0,1.0,4.0,1,1,1,1,1
0,42,Travel_Frequently,Research_Development,14,4,Technical_Degree,Male,4,Sales_Executive,Married,132060,0.0,13,2,7.0,2,6,0,4,3,4,3.0,3.0,4.0,1,1,1,1,1
0,38,Travel_Frequently,Sales,2,3,Marketing,Female,2,Sales_Executive,Married,49070,1.0,11,1,1.0,3,1,0,0,1,2,3.0,3.0,3.0,1,1,1,1,1
0,40,Travel_Rarely,Sales,21,4,Marketing,Female,1,Sales_Executive,Married,34820,0.0,18,1,21.0,2,20,1,12,3,3,4.0,4.0,1.0,1,1,1,1,1
0,26,Travel_Rarely,Research_Development,2,2,Medical,Female,4,Healthcare_Representative,Divorced,24360,1.0,24,0,3.0,2,3,0,2,4,3,4.0,4.0,2.0,1,1,1,1,1
0,30,Non-Travel,Research_Development,12,3,Medical,Female,2,Sales_Executive,Married,23800,4.0,18,3,9.0,2,5,1,4,3,4,2.0,4.0,3.0,1,1,1,1,1
0,29,Travel_Rarely,Research_Development,6,3,Medical,Female,3,Manufacturing_Director,Married,194310,1.0,11,0,10.0,3,10,0,7,2,2,3.0,4.0,3.0,1,1,1,1,1
0,30,Non-Travel,Research_Development,2,4,Life_Sciences,Female,3,Research_Scientist,Married,51310,0.0,15,1,10.0,2,9,7,8,3,3,4.0,1.0,3.0,1,1,1,1,1
0,57,Travel_Rarely,Research_Development,2,2,Life_Sciences,Male,4,Research_Scientist,Divorced,63060,3.0,12,1,32.0,3,1,0,0,3,1,2.0,3.0,4.0,1,1,1,1,1
